picklistId,listingId,binId,quantity,fnsku,warehouseId
P201021-FFB1B341E017,LSTSMPG4XS2HG25XJNQ9EMMLN,A16790,1,fnsku,3
P201021-FFB1B341E017,LSTSMPG4XS2HG25XJNQ9EMMLN,A16790,1,fnsku,3
P201021-FFB1B341E017,LSTSMPG4XS2HG25XJNQ9EMMLN,A16790,1,fnsku,3
P201021-FFB1B341E017,LSTSMPG4XS2HG25XJNQ9EMMLN,A16790,1,fnsku,3
P201021-FFB1B341E017,LSTSMPG4XS2HG25XJNQ9EMMLN,A16790,1,fnsku,3
P201021-FFB1B341E017,LSTSOPG3HSRPCNGFBR60TPGQM,ST-004-009-007,1,fnsku,3
P201021-FFB1B341E017,LSTSOPG3HSRPCNGFBR60TPGQM,ST-004-009-007,1,fnsku,3
P201021-FFB1B341E017,LSTSOPG3HSRPCNGFBR60TPGQM,ST-004-009-007,1,fnsku,3
P201021-FFB1B341E017,LSTSOPG3HSRPCNGFBR60TPGQM,ST-004-009-007,1,fnsku,3
P201021-FFB1B341E017,LSTSOPG3HSRPCNGFBR60TPGQM,ST-004-009-007,1,fnsku,3
P201021-FFB1B341E017,LSTSOPG3HSRPCNGFBR60TPGQM,ST-004-009-007,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
P201021-FFB1B341E017,LSTSOPFHDY2NRZJTDZHOPDTPQ,A30040,1,fnsku,3
