listingId,picklistId_mongo,warehouseId_mongo,bin_id,error massage
LSTSMPFEYQ4VKDK6QRFRO0I0K,P200721-356E04961CC9,4,A108A990,list index out of range
LSTSMPFEYQ4YGBYEUFHAWT5QK,P200721-356E04961CC9,4,A107G910,list index out of range
LSTSMPFEYQ4YGBYEUFHAWT5QK,P200721-356E04961CC9,4,A107G910,list index out of range
LSTSMPFEYQ4VKDK6QRFRO0I0K,P200721-356E04961CC9,4,A108A990,list index out of range
LSTSMPFEYQ4VKDK6QRFRO0I0K,P200721-356E04961CC9,4,A108G950,list index out of range
LSTSMPFEYQ4VKDK6QRFRO0I0K,P200721-356E04961CC9,4,A108G950,list index out of range
LSTCKBF35U6DZGCSWZVRVDFJ4,P200721-A173E2096CEC,4,A107G870,"Message: element not interactable
  (Session info: chrome=91.0.4472.164)
"
LSTFLTFTMV6MWTXZEH87REEGY,P200721-A173E2096CEC,4,A108G950,"Message: element not interactable
  (Session info: chrome=91.0.4472.164)
"
LSTFLTFTMV6MWTXZEH87REEGY,P200721-A173E2096CEC,4,A111G1520,"Message: element not interactable
  (Session info: chrome=91.0.4472.164)
"
LSTFLTFTMV6MWTXZEH87REEGY,P200721-A173E2096CEC,4,A107G850,"Message: element not interactable
  (Session info: chrome=91.0.4472.164)
"
LSTAPCFTNGGGNYB7P3FCXW4F3,P200721-A173E2096CEC,4,A108C910,"Message: element not interactable
  (Session info: chrome=91.0.4472.164)
"
