listingId,picklistId_mongo,warehouseId_mongo,bin_id,error massage
LSTSMPFEYQ4YGBYEUFHAWT5QK,P200721-356E04961CC9,4,A109D610,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYQ4YGBYEUFHAWT5QK,P200721-356E04961CC9,4,A107G910,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYQ4YGBYEUFHAWT5QK,P200721-356E04961CC9,4,A107G910,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYQ4VKDK6QRFRO0I0K,P200721-356E04961CC9,4,A108A990,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYQ4VKDK6QRFRO0I0K,P200721-356E04961CC9,4,A108G950,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYQ4VKDK6QRFRO0I0K,P200721-356E04961CC9,4,A108G950,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYQ4VKDK6QRFRO0I0K,P200721-356E04961CC9,4,A108G950,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYQ4VKDK6QRFRO0I0K,P200721-356E04961CC9,4,A108G950,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTSMPFEYQ4VKDK6QRFRO0I0K,P200721-356E04961CC9,4,A108G950,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTPKTFG3FNGA4HHSAZXSULHN,P200721-356E04961CC9,4,A121E100,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
