picklistId,listingId,binId,quantity,fnsku,warehouseId,tracking_id,order_id
P1630468061448,LSTCBKGY8MZNHDST5EMKNX29V,A107D240,-1,X001BKYBC9,4,156248927620,402-1009270-2246707
P1630468061448,LSTFCWFZQCQWJSHKTDWN5DK0G,A107E270,-1,X0016EQ5IN,4,156248929310,408-4421545-2023568
P1630468061448,LSTALOFW8JXE9GBS8EKYR0LUE,A108C290,-1,X0018X8YWR,4,156248932822,407-0402233-2084360
